partType,name,image,url,size
case,Cooler Master MasterBox TD500 Mesh w/ Controller ATX Mid Tower Case (MCB-D500D-KGNN-S01),https://cdna.pcpartpicker.com/static/forever/images/product/351a1f0a7e65a3513b198dbcdcacf1d8.256p.jpg,https://pcpartpicker.com/product/pvdrxr/cooler-master-masterbox-td500-mesh-w-controller-atx-mid-tower-case-mcb-d500d-kgnn-s01,ATX
case,Fractal Design Meshify 2 ATX Mid Tower Case (FD-C-MES2A-02),https://cdna.pcpartpicker.com/static/forever/images/product/44c3adb0643a62248e71ffc037f1359f.256p.jpg,https://pcpartpicker.com/product/jqTzK8/fractal-design-meshify-2-atx-mid-tower-case-fd-c-mes2a-02,ATX
case,Phanteks Eclipse P400A ATX Mid Tower Case (PH-EC400ATG_BK),https://cdna.pcpartpicker.com/static/forever/images/product/c62d93ddd59d252799a01f178b5da199.256p.jpg,https://pcpartpicker.com/product/3RJmP6/phanteks-eclipse-p400a-atx-mid-tower-case-ph-ec400atg_bk,ATX
case,Montech SKY TWO ATX Mid Tower Case (SKY TWO Black),https://cdna.pcpartpicker.com/static/forever/images/product/dcba5154b41f5dcef594caf7d6649759.256p.jpg,https://pcpartpicker.com/product/jpddnQ/montech-sky-two-atx-mid-tower-case-sky-two-black,ATX
case,MSI MPG GUNGNIR 110R ATX Mid Tower Case (MPG GUNGNIR 110R),https://cdna.pcpartpicker.com/static/forever/images/product/dc42d28c5790fb4bde9a1b71bb294edb.256p.jpg,https://pcpartpicker.com/product/gLZzK8/msi-mpg-gungnir-110r-atx-mid-tower-case-mpg-gungnir-110r,ATX
case,MSI MAG FORGE 100R ATX Mid Tower Case (MAG FORGE 100R),https://cdna.pcpartpicker.com/static/forever/images/product/4145e426378c801cc80da05d9ec6e8bf.256p.jpg,https://pcpartpicker.com/product/yKNgXL/msi-mag-forge-100r-atx-mid-tower-case-mag-forge-100r,ATX
case,Corsair Obsidian Series 1000D ATX Full Tower Case (CC-9011148-WW),https://cdna.pcpartpicker.com/static/forever/images/product/a7a0359ad235cd8cb78730230deb4666.256p.jpg,https://pcpartpicker.com/product/bHprxr/corsair-obsidian-series-1000d-atx-full-tower-case-cc-9011148-ww,ATX
case,Asus ROG Strix Helios ATX Full Tower Case (GX601),https://cdna.pcpartpicker.com/static/forever/images/product/7fb0b865a88be851eb7fdac685bf373c.256p.jpg,https://pcpartpicker.com/product/FhRzK8/asus-rog-strix-helios-atx-full-tower-case-gx601,ATX
case,Lian Li O11D XL-X ATX Full Tower Case (O11D XL-X),https://cdna.pcpartpicker.com/static/forever/images/product/692ed556003849f8f97e835632e8aefb.256p.jpg,https://pcpartpicker.com/product/FjpmP6/lian-li-o11d-xl-x-atx-full-tower-case-o11d-xl-x,ATX
case,Fractal Design North ATX Mid Tower Case (FD-C-NOR1C-03),https://cdna.pcpartpicker.com/static/forever/images/product/1eb2360138c7f6474f6bed26f9498be7.256p.jpg,https://pcpartpicker.com/product/d8WzK8/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-03,ATX
