partType,name,image,url,type
cooler,NZXT Kraken Elite 240 RGB 78.02 CFM Liquid CPU Cooler (RL-KR24E-W1),https://cdna.pcpartpicker.com/static/forever/images/product/6f683f6bee595e3b641933df52ecff8f.256p.jpg,https://pcpartpicker.com/product/d6rqqs/nzxt-kraken-elite-240-rgb-7802-cfm-liquid-cpu-cooler-rl-kr24e-w1,liquid
cooler,Cooler Master MasterLiquid ML240L ARGB V2 62 CFM Liquid CPU Cooler (MLW-D24M-A18PA-R2),https://cdna.pcpartpicker.com/static/forever/images/product/42a4c9d918eab492e2a1146db9291fc1.256p.jpg,https://pcpartpicker.com/product/27NxFT/cooler-master-masterliquid-ml240l-argb-v2-62-cfm-liquid-cpu-cooler-mlw-d24m-a18pa-r2,liquid
cooler,ID-COOLING FROSTFLOW X 76.8 CFM Liquid CPU Cooler (FROSTFLOW X 280),https://m.media-amazon.com/images/I/419IYEufh7L.jpg,https://pcpartpicker.com/product/Lx3gXL/id-cooling-frostflow-x-768-cfm-liquid-cpu-cooler-frostflow-x-280,liquid
cooler,Deepcool LT520 WH 85.85 CFM Liquid CPU Cooler (R-LT520-WHAMNF-G-1),https://m.media-amazon.com/images/I/31PANRVyj2L.jpg,https://pcpartpicker.com/product/hGGhP6/deepcool-lt520-wh-8585-cfm-liquid-cpu-cooler-r-lt520-whamnf-g-1,liquid
cooler,Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION 58.54 CFM Liquid CPU Cooler (GA-240SLA),https://m.media-amazon.com/images/I/41wwn6pOtYL.jpg,https://pcpartpicker.com/product/Mdt9TW/lian-li-galahad-aio-240-rgb-uni-fan-sl120-edition-5854-cfm-liquid-cpu-cooler-ga-240sla,liquid
cooler,NZXT Kraken 280 99.68 CFM Liquid CPU Cooler (RL-KN280-B1),https://cdna.pcpartpicker.com/static/forever/images/product/84128080e04ff1cff81741225c168af0.256p.jpg,https://pcpartpicker.com/product/M8rqqs/nzxt-kraken-280-9968-cfm-liquid-cpu-cooler-rl-kn280-b1,liquid
cooler,Deepcool LS520 85.85 CFM Liquid CPU Cooler (R-LS520-BKAMNT-G-1),https://cdna.pcpartpicker.com/static/forever/images/product/75962fc9c4adde608dc99f2d6cfcc855.256p.jpg,https://pcpartpicker.com/product/xcD7YJ/deepcool-ls520-8585-cfm-liquid-cpu-cooler-r-ls520-bkamnt-g-1,liquid
cooler,EK EK-Nucleus AIO CR360 Lux D-RGB 72 CFM Liquid CPU Cooler (EK-Nucleus AIO CR360 Lux D-RGB),https://m.media-amazon.com/images/I/418tvnCL4UL.jpg,https://pcpartpicker.com/product/tQ3gXL/ek-ek-nucleus-aio-cr360-lux-d-rgb-72-cfm-liquid-cpu-cooler-ek-nucleus-aio-cr360-lux-d-rgb,liquid
cooler,Cooler Master MasterLiquid ML360L ARGB V2 62 CFM Liquid CPU Cooler (MLW-D36M-A18PW-RW),https://cdna.pcpartpicker.com/static/forever/images/product/d6b5444ef5c1e5a9284eb38198f94010.256p.jpg,https://pcpartpicker.com/product/BZbTwP/cooler-master-masterliquid-ml360l-argb-v2-62-cfm-liquid-cpu-cooler-mlw-d36m-a18pw-rw,liquid
cooler,Deepcool LS520 SE WH 85.85 CFM Liquid CPU Cooler (LS520 SE WH),https://m.media-amazon.com/images/I/41X1pcKIFvL.jpg,https://pcpartpicker.com/product/sfrqqs/deepcool-ls520-se-wh-8585-cfm-liquid-cpu-cooler-ls520-se-wh,liquid
cooler,MSI MAG CORELIQUID C360 78.73 CFM Liquid CPU Cooler (MAG CORELIQUID C360),https://cdna.pcpartpicker.com/static/forever/images/product/a3bb22799c4d271679027a448def0c3b.256p.jpg,https://pcpartpicker.com/product/Jy7G3C/msi-mag-coreliquid-c360-7873-cfm-liquid-cpu-cooler-mag-coreliquid-c360,liquid
cooler,Asus ROG STRIX LC II ARGB 80.95 CFM Liquid CPU Cooler (ROG STRIX LC II 360 ARGB),https://cdna.pcpartpicker.com/static/forever/images/product/ad2d67177c35acc45be96995e6a4b370.256p.jpg,https://pcpartpicker.com/product/KV8bt6/asus-rog-strix-lc-ii-argb-8095-cfm-liquid-cpu-cooler-rog-strix-lc-ii-360-argb,liquid
cooler,Deepcool LS720 SE WH 85.85 CFM Liquid CPU Cooler (LS720 SE WH),https://m.media-amazon.com/images/I/31cc4omxokL.jpg,https://pcpartpicker.com/product/dWGhP6/deepcool-ls720-se-wh-8585-cfm-liquid-cpu-cooler-ls720-se-wh,liquid
cooler,NZXT Kraken 360 RGB 78.02 CFM Liquid CPU Cooler (RL-KR360-B1),https://cdna.pcpartpicker.com/static/forever/images/product/da52d72313deb270a5397a87703991d0.256p.jpg,https://pcpartpicker.com/product/hqmNnQ/nzxt-kraken-360-rgb-7802-cfm-liquid-cpu-cooler-rl-kr360-b1,liquid
