partType,name,image,url,brand,socket,size
motherboard,Asus PRIME H310M-A R2.0 Micro ATX LGA1151 Motherboard (PRIME H310M-A R2.0),https://images-na.ssl-images-amazon.com/images/I/51uTqiqBEVL.jpg,https://pcpartpicker.com/product/VzMTwP/asus-prime-h310m-a-r20-micro-atx-lga1151-motherboard-prime-h310m-a-r20,Intel,LGA 1151,ATX
motherboard,ASRock Z370 Extreme4 ATX LGA1151 Motherboard (Z370 Extreme4),https://cdna.pcpartpicker.com/static/forever/images/product/733aae698bf410958b6a10a7ef613474.256p.jpg,https://pcpartpicker.com/product/QNX2FT/asrock-z370-extreme4-atx-lga1151-motherboard-z370-extreme4,Intel,LGA 1151,ATX
motherboard,Asus PRIME B250M-A Micro ATX LGA1151 Motherboard (PRIME B250M-A),https://cdna.pcpartpicker.com/static/forever/images/product/6e76819a78e944edd5487451219d1f7d.256p.jpg,https://pcpartpicker.com/product/pTVBD3/asus-prime-b250m-a-micro-atx-lga1151-motherboard-prime-b250m-a,Intel,LGA 1151,ATX
motherboard,ASRock Z390 Phantom Gaming 4 ATX LGA1151 Motherboard (Z390 Phantom Gaming 4),https://cdna.pcpartpicker.com/static/forever/images/product/2b02bc5f14c800bc66df1b8364788093.256p.jpg,https://pcpartpicker.com/product/ntyV3C/asrock-z390-phantom-gaming-4-atx-lga1150-motherboard-z390-phantom-gaming-4,Intel,LGA 1151,ATX
motherboard,Gigabyte Z390 AORUS ELITE ATX LGA1151 Motherboard (Z390 AORUS ELITE),https://cdna.pcpartpicker.com/static/forever/images/product/119baf5812908c1b92fd934720593cb2.256p.jpg,https://pcpartpicker.com/product/GPdxFT/gigabyte-z390-aorus-elite-atx-lga1151-motherboard-z390-aorus-elite,Intel,LGA 1151,ATX
motherboard,Gigabyte Z390 AORUS ULTRA ATX LGA1151 Motherboard (Z390 AORUS ULTRA),https://cdna.pcpartpicker.com/static/forever/images/product/2cd0fcb3c7b17ea6059d6275b82c1781.256p.jpg,https://pcpartpicker.com/product/n6gzK8/gigabyte-z390-aorus-ultra-atx-lga1151-motherboard-z390-aorus-ultra,Intel,LGA 1151,ATX
motherboard,MSI B250M BAZOOKA Micro ATX LGA1151 Motherboard (B250M BAZOOKA),https://m.media-amazon.com/images/I/61IhuamUavL.jpg,https://pcpartpicker.com/product/CVX2FT/msi-b250m-bazooka-micro-atx-lga1151-motherboard-b250m-bazooka,Intel,LGA 1151,ATX
motherboard,Asus ROG STRIX Z370-F GAMING ATX LGA1151 Motherboard (STRIX Z370-F GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/c1cd0f33ae4b8b6a4d4fea1892abfe7d.256p.jpg,https://pcpartpicker.com/product/9bNypg/asus-rog-strix-z370-f-gaming-atx-lga1151-motherboard-strix-z370-f-gaming,Intel,LGA 1151,ATX
motherboard,Gigabyte Z390 AORUS MASTER ATX LGA1151 Motherboard (Z390 AORUS MASTER),https://cdna.pcpartpicker.com/static/forever/images/product/b44c9eb2fa9abaf62e3e7ce90ec7da3e.256p.jpg,https://pcpartpicker.com/product/fyrmP6/gigabyte-z390-aorus-master-atx-lga1151-motherboard-z390-aorus-master,Intel,LGA 1151,ATX
motherboard,Gigabyte Z370P D3 ATX LGA1151 Motherboard (Z370P D3),https://images-eu.ssl-images-amazon.com/images/I/6108ihLdalL.jpg,https://pcpartpicker.com/product/V9WfrH/gigabyte-z370p-d3-atx-lga1151-motherboard-z370p-d3,Intel,LGA 1151,ATX
motherboard,ASRock B360M Pro4 Micro ATX LGA1151 Motherboard (B360M Pro4),https://cdna.pcpartpicker.com/static/forever/images/product/889a1ee3950310c96b9e93d19cc030d4.256p.jpg,https://pcpartpicker.com/product/vZzkcf/asrock-b360m-pro4-micro-atx-lga1151-motherboard-b360m-pro4,Intel,LGA 1151,ATX
motherboard,Asus WS C246 PRO ATX LGA1151 Motherboard (WS C246 PRO),https://cdna.pcpartpicker.com/static/forever/images/product/8b092c216f7b1772a030e2fbd8de02a8.256p.jpg,https://pcpartpicker.com/product/7KQG3C/asus-ws-c246-pro-atx-lga1151-motherboard-ws-c246-pro,Intel,LGA 1151,ATX
motherboard,MSI B365M PRO-VDH Micro ATX LGA1151 Motherboard (B365M PRO-VDH),https://cdna.pcpartpicker.com/static/forever/images/product/7ae7ab75a2ca388f3987cd86267e1dae.256p.jpg,https://pcpartpicker.com/product/77wkcf/msi-b365m-pro-vdh-micro-atx-lga1151-motherboard-b365m-pro-vdh,Intel,LGA 1151,ATX
motherboard,Asus PRIME H310M-K Micro ATX LGA1151 Motherboard (PRIME H310M-K),https://cdna.pcpartpicker.com/static/forever/images/product/8a193ba53d750852734c95d0e71fe38f.256p.jpg,https://pcpartpicker.com/product/zxRzK8/asus-prime-h310m-k-micro-atx-lga1151-motherboard-prime-h310m-k,Intel,LGA 1151,ATX
motherboard,MSI MAG B365M MORTAR Micro ATX LGA1151 Motherboard (MAG B365M MORTAR),https://cdna.pcpartpicker.com/static/forever/images/product/cacd3c30e0be8ffc5866d534ca23e9dd.256p.jpg,https://pcpartpicker.com/product/w4CFf7/msi-mag-b365m-mortar-micro-atx-lga1151-motherboard-mag-b365m-mortar,Intel,LGA 1151,ATX
motherboard,Asus MAXIMUS IX HERO ATX LGA1151 Motherboard (MAXIMUS IX HERO),https://cdna.pcpartpicker.com/static/forever/images/product/90f9ba6238c11d164a0a6e49b0e78e94.256p.jpg,https://pcpartpicker.com/product/HHbkcf/asus-maximus-ix-hero-atx-lga1151-motherboard-maximus-ix-hero,Intel,LGA 1151,ATX
motherboard,MSI MPG Z390 GAMING PRO CARBON AC ATX LGA1151 Motherboard (MPG Z390 GAMING PRO CARBON AC),https://cdna.pcpartpicker.com/static/forever/images/product/cd20ba2d9fea29fc03b304c320510e7d.256p.jpg,https://pcpartpicker.com/product/K3ndnQ/msi-mpg-z390-gaming-pro-carbon-ac-atx-lga1151-motherboard-mpg-z390-gaming-pro-carbon-ac,Intel,LGA 1151,ATX
motherboard,Gigabyte GA-Z170X-Gaming 7 ATX LGA1151 Motherboard (GA-Z170X-Gaming7),https://m.media-amazon.com/images/I/61PE5Y1NtlL.jpg,https://pcpartpicker.com/product/bzNypg/gigabyte-motherboard-gaz170xgaming7,Intel,LGA 1151,ATX
motherboard,Asus TUF B365M-PLUS GAMING Micro ATX LGA1151 Motherboard (TUF B365M-PLUS GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/9d9853909e7f285fe446ec8f29115399.256p.jpg,https://pcpartpicker.com/product/KJfFf7/asus-tuf-b365m-plus-gaming-micro-atx-lga1151-motherboard-tuf-b365m-plus-gaming,Intel,LGA 1151,ATX
motherboard,Gigabyte GA-Z170X-UD5 ATX LGA1151 Motherboard (GA-Z170X-UD5),https://cdna.pcpartpicker.com/static/forever/images/product/738d0410bb23e6bafc9430f056f1399f.256p.jpg,https://pcpartpicker.com/product/k3tWGX/gigabyte-motherboard-gaz170xud5,Intel,LGA 1151,ATX
motherboard,Asus ROG MAXIMUS X HERO (WI-FI AC) ATX LGA1151 Motherboard (MAXIMUS X HERO (WI-FI AC)),https://cdna.pcpartpicker.com/static/forever/images/product/bd930594ee70d733230e5813b9705713.256p.jpg,https://pcpartpicker.com/product/tqKhP6/asus-maximus-x-hero-wi-fi-ac-atx-lga1151-motherboard-maximus-x-hero-wi-fi-ac,Intel,LGA 1151,ATX
motherboard,MSI B360 GAMING PLUS ATX LGA1151 Motherboard (B360 GAMING PLUS),https://cdna.pcpartpicker.com/static/forever/images/product/296123c748b5cf9fc3705a03888ab4d0.256p.jpg,https://pcpartpicker.com/product/M3m323/msi-b360-gaming-plus-atx-lga1151-motherboard-b360-gaming-plus,Intel,LGA 1151,ATX
motherboard,MSI H110M Gaming Micro ATX LGA1151 Motherboard (H110M Gaming),https://cdna.pcpartpicker.com/static/forever/images/product/f9decbe2e69e4621998298bf5bdad98b.256p.jpg,https://pcpartpicker.com/product/rLs8TW/msi-motherboard-h110mgaming,Intel,LGA 1151,ATX
motherboard,Asus STRIX Z270F ATX LGA1151 Motherboard (STRIX Z270F),https://cdna.pcpartpicker.com/static/forever/images/product/67e3518e42f69e9698eb4f56057433ce.256p.jpg,https://pcpartpicker.com/product/b3jWGX/asus-strix-z270f-atx-lga1151-motherboard-strix-z270f,Intel,LGA 1151,ATX
motherboard,ASRock Z370 Pro4 ATX LGA1151 Motherboard (Z370 Pro4),https://cdna.pcpartpicker.com/static/forever/images/product/9e1eb50ed97ad182aa5c4d460b820a3e.256p.jpg,https://pcpartpicker.com/product/39hj4D/asrock-z370-pro4-atx-lga1151-motherboard-z370-pro4,Intel,LGA 1151,ATX
motherboard,Gigabyte Z390 AORUS PRO ATX LGA1151 Motherboard (Z390 AORUS PRO),https://cdna.pcpartpicker.com/static/forever/images/product/2a39a11ee414d3a73b9a830970a0c331.256p.jpg,https://pcpartpicker.com/product/MVPKHx/gigabyte-z390-aorus-pro-atx-lga1151-motherboard-z390-aorus-pro,Intel,LGA 1151,ATX
motherboard,ASRock Z390 Phantom Gaming 4S ATX LGA1151 Motherboard (Z390 Phantom Gaming 4S),https://m.media-amazon.com/images/I/51ftrZYLH1L.jpg,https://pcpartpicker.com/product/nTC48d/asrock-z390-phantom-gaming-4s-atx-lga1151-motherboard-z390-phantom-gaming-4s,Intel,LGA 1151,ATX
motherboard,Gigabyte Z370 AORUS Gaming 7 (rev. 1.0) ATX LGA1151 Motherboard (Z370 AORUS Gaming 7 (rev. 1.0)),https://cdna.pcpartpicker.com/static/forever/images/product/469676277253ffeeff4b1ec7fc06de69.256p.jpg,https://pcpartpicker.com/product/CkCrxr/gigabyte-z370-aorus-gaming-7-rev-10-atx-lga1151-motherboard-z370-aorus-gaming-7-rev-10,Intel,LGA 1151,ATX
motherboard,MSI H110M Pro-VD Micro ATX LGA1151 Motherboard (H110M Pro-VD),https://cdna.pcpartpicker.com/static/forever/images/product/3cb833e8c3e6e2707bfec24cac5d887a.256p.jpg,https://pcpartpicker.com/product/bPVBD3/msi-motherboard-h110mprovd,Intel,LGA 1151,ATX
motherboard,Asus H110M-R Micro ATX LGA1151 Motherboard (H110M-R),https://cdna.pcpartpicker.com/static/forever/images/product/89e793170563e71db0078421dcfe12e6.256p.jpg,https://pcpartpicker.com/product/xMqbt6/asus-h110m-r-micro-atx-lga1151-motherboard-h110m-r,Intel,LGA 1151,ATX
motherboard,Gigabyte H310M H Micro ATX LGA1151 Motherboard (H310M H),https://cdna.pcpartpicker.com/static/forever/images/product/8d6650f909c0c0fb53bc04e7fdf163d7.256p.jpg,https://pcpartpicker.com/product/tK22FT/gigabyte-h310m-h-micro-atx-lga1151-motherboard-h310m-h,Intel,LGA 1151,ATX
