partType,name,image,url,brand,socket,speed,coreCount,threadCount,power
cpu,Intel Core i5-760 2.8 GHz Quad-Core Processor (BX80605I5760),https://cdna.pcpartpicker.com/static/forever/images/product/f7b07148337e7ce06429682d5c2c24d1.256p.jpg,https://pcpartpicker.com/product/R6zv6h/intel-cpu-bx80605i5760,Intel,LGA 1151,2.8,4,4,50
cpu,Intel Core i5-7600T 2.8 GHz Quad-Core Processor (BX80677I57600T),https://cdna.pcpartpicker.com/static/forever/images/product/af30c4076a25b69d6f721172010cc0ec.256p.jpg,https://pcpartpicker.com/product/4hx9TW/intel-core-i5-7600t-28ghz-quad-core-processor-bx80677i57600t,Intel,LGA 1151,2.8,4,4,50
cpu,Intel Core i5-7600 3.5 GHz Quad-Core OEM/Tray Processor (CM8067702868011),https://images-eu.ssl-images-amazon.com/images/I/51ZMybQM3cL.jpg,https://pcpartpicker.com/product/FN98TW/intel-core-i5-7600-35ghz-quad-core-oemtray-processor-cm8067702868011,Intel,LGA 1151,3.5,4,4,50
cpu,Intel Core i5-7400T 2.4 GHz Quad-Core Processor (BX80677I57400T),https://cdna.pcpartpicker.com/static/forever/images/product/af30c4076a25b69d6f721172010cc0ec.256p.jpg,https://pcpartpicker.com/product/xjKhP6/intel-core-i5-7400t-24ghz-quad-core-processor-bx80677i57400t,Intel,LGA 1151,2.4,4,4,50
cpu,Intel Core i5-7400T 2.4 GHz Quad-Core OEM/Tray Processor (CM8067702867915),https://images-eu.ssl-images-amazon.com/images/I/51JPrIJI7gL.jpg,https://pcpartpicker.com/product/rXp323/intel-core-i5-7400t-24ghz-quad-core-oemtray-processor-cm8067702867915,Intel,LGA 1151,2.4,4,4,50
cpu,Intel Core i5-7600T 2.8 GHz Quad-Core OEM/Tray Processor (CM8067702868117),https://images-eu.ssl-images-amazon.com/images/I/51ZMybQM3cL.jpg,https://pcpartpicker.com/product/nrhj4D/intel-core-i5-7600t-28ghz-quad-core-oemtray-processor-cm8067702868117,Intel,LGA 1151,2.8,4,4,50
cpu,Intel Core i5-750 2.66 GHz Quad-Core OEM/Tray Processor (BV80605001911AP),https://images-na.ssl-images-amazon.com/images/I/41NdwnxszBL.jpg,https://pcpartpicker.com/product/D9H323/intel-cpu-bv80605001911ap,Intel,LGA 1151,2.66,4,4,50
cpu,Intel Core i5-7500T 2.7 GHz Quad-Core Processor (BX80677I57500T),https://cdna.pcpartpicker.com/static/forever/images/product/af30c4076a25b69d6f721172010cc0ec.256p.jpg,https://pcpartpicker.com/product/WCvZxr/intel-core-i5-7500t-27ghz-quad-core-processor-bx80677i57500t,Intel,LGA 1151,2.7,4,4,50
cpu,Intel Core i5-7640X 4 GHz Quad-Core OEM/Tray Processor (CM8067702868730),https://cdna.pcpartpicker.com/static/forever/images/product/691467fd1a461dd708186f4dc35d71c5.256p.jpg,https://pcpartpicker.com/product/9jzZxr/intel-core-i5-7640x-40ghz-quad-core-oemtray-processor-cm8067702868730,Intel,LGA 1151,4.0,4,4,50
cpu,Intel Core i5-750S 2.4 GHz Quad-Core Processor (BX80605I5750S),https://images-na.ssl-images-amazon.com/images/I/51Z4xqm4nJL.jpg,https://pcpartpicker.com/product/sDvRsY/intel-cpu-bx80605i5750s,Intel,LGA 1151,2.4,4,4,50
