partType,name,image,url,type,size
memory,Kingston KVR16N11S6/2 2 GB (1 x 2 GB) DDR3-1600 CL11 Memory (KVR16N11S6/2),https://cdna.pcpartpicker.com/static/forever/images/product/a3cbd50ab70038737cae88535d08d1db.256p.jpg,https://pcpartpicker.com/product/jFBv6h/kingston-memory-kvr16n11s62,DDR3,2
memory,G.Skill Ripjaws Z 32 GB (4 x 8 GB) DDR3-2400 CL11 Memory (F3-2400C11Q-32GZM),https://m.media-amazon.com/images/I/41pVduk+xwL.jpg,https://pcpartpicker.com/product/PMLypg/gskill-memory-f32400c11q32gzm,DDR3,32
memory,Kingston HyperX Fury 16 GB (2 x 8 GB) DDR3-1866 CL10 Memory (HX318C10FWK2/16),https://cdna.pcpartpicker.com/static/forever/images/product/d38ab9d7fe51da74cc5832548c915804.256p.jpg,https://pcpartpicker.com/product/dgDwrH/kingston-memory-hx318c10fwk216,DDR3,16
memory,Corsair Vengeance Pro 32 GB (4 x 8 GB) DDR3-2800 CL12 Memory (CMY32GX3M4A2800C12R),https://images-na.ssl-images-amazon.com/images/I/413ro-KwJpL.jpg,https://pcpartpicker.com/product/vs6BD3/corsair-memory-cmy32gx3m4a2800c12r,DDR3,32
memory,Corsair Vengeance 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (CML16GX3M4A1600C9),https://cdna.pcpartpicker.com/static/forever/images/product/4ae9fe737298d1d70d624ea70bd5049d.256p.jpg,https://pcpartpicker.com/product/BnR48d/corsair-memory-cml16gx3m4a1600c9,DDR3,16
memory,Corsair Vengeance 8 GB (1 x 8 GB) DDR3-1600 CL10 Memory (CMZ8GX3M1A1600C10),https://images-na.ssl-images-amazon.com/images/I/41sEUP%2B6A7L.jpg,https://pcpartpicker.com/product/bYjG3C/corsair-vengeance-8-gb-1-x-8-gb-ddr3-1600-cl10-memory-cmz8gx3m1a1600c10,DDR3,8
memory,SK Hynix HMT41GU6MFR8C-PB 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory (HMT41GU6MFR8C-PB),https://static/forever/img/no-image.png,https://pcpartpicker.com/product/P3xbt6/sk-hynix-8-gb-1-x-8-gb-ddr3-1600-cl11-memory-hmt41gu6mfr8c-pb,DDR3,8
memory,Patriot PSD34G160081 4 GB (1 x 4 GB) DDR3-1600 CL11 Memory (PSD34G160081),https://cdna.pcpartpicker.com/static/forever/images/product/1db47332b9c831205ea7511fd63e41f0.256p.jpg,https://pcpartpicker.com/product/n7K7YJ/patriot-memory-psd34g160081,DDR3,4
memory,Corsair Dominator Platinum 8 GB (2 x 4 GB) DDR3-3200 CL13 Memory (CMD8GX3M2A3200C13),https://m.media-amazon.com/images/I/51Mu1Kt+h+L.jpg,https://pcpartpicker.com/product/by4NnQ/corsair-dominator-platinum-8-gb-2-x-4-gb-ddr3-3200-cl13-memory-cmd8gx3m2a3200c13,DDR3,8
memory,Kingston HyperX Fury 4 GB (1 x 4 GB) DDR3-1600 CL10 Memory (HX316C10F/4),https://cdna.pcpartpicker.com/static/forever/images/product/420350537fa9e0e49b1e491fe9c4810d.256p.jpg,https://pcpartpicker.com/product/B7ckcf/kingston-memory-hx316c10f4,DDR3,4
memory,G.Skill Ripjaws X 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory (F3-1600C9Q-32GXM),https://cdna.pcpartpicker.com/static/forever/images/product/e93180e3e4b1e8c138e16fe4125e7f56.256p.jpg,https://pcpartpicker.com/product/QYxfrH/gskill-memory-f31600c9q32gxm,DDR3,32
